;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
X 3513;X 3514;X 3513;X 3514;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3595;X 3594;X 3595;X 3594;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1;4;4;HB
X 3608;SEY 5011;X 3608;;Cousin;;1992;;;SEY 5011;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3616;X 3619;X 3616;X 3619;Cousin;;1992;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
X 3694;X 3695;X 3694;X 3695;Cousin;;1992;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;2;1;1;HB
X 3753;X 3773;X 3753;X 3773;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3774;X 3775;X 3774;X 3775;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
SEY 2606;SEY 2605;X 3788;X 3789;Cousin;;1992;SEY 2606;07/11/1998;SEY 2605;07/11/1998;;;;;;;;;1;;;;;;1;;;1;;3;;;3;;;5;;;;;;;;;;;;5;5;1;HB
X 3590;SEY 6995;X 3590;;Cousin;;1992;;;SEY 6995;02/12/2005;;;;;;;;;;;;;;1;;;;1;;;4;;;2;;;3;;;;;4;;;;;;6;4;1;HB
X 3597;X 3598;X 3597;X 3598;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;2;1;1;HB
SCA 7039;SCA 7038;X 3522;X 3521;Cousin;;1992;SCA 7039;28/10/2013;SCA 7038;28/10/2013;;;;;;;;;;;;;;;;;;;4;;;;;;;4;;;;;;;;;;;;2;4;4;HB
E 0495;SCA 2675;;X 3615;Cousin;;1992;E 0495;;SCA 2675;23/12/2010;;;;;;;;;;;;;;;;;;2;;;;;3;;;;;;;;;;;;;;;2;3;2;HB
SEY 2930;SCA 1200;;X 3607;Cousin;;1992;SEY 2930;;SCA 1200;02/12/2007;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;;;;;;;2;4;1;HB
X 3439;X 3438;X 3439;X 3438;Cousin;;1992;;;;;;;;;;;;;1;;;;;1;;;1;;;3;;;;;4;;;;;;;;;;;;;4;4;1;HB
X 3523;X 3524;X 3523;X 3524;Cousin;;1992;;;;;;;;;;;;;;;;;1;;;;;;;;5;;;;;;;;;;;;;;;;;2;5;1;HB
X 3533;X 3534;X 3533;X 3534;Cousin;;1992;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3613;X 3614;X 3613;X 3614;Cousin;;1992;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3658;X 3659;X 3658;X 3659;Cousin;;1992;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;5;;;;;;;;;;;;;2;5;2;HB
X 3678;X 3679;X 3678;X 3679;Cousin;;1992;;;;;;;;;;;;;;;;1;;;;;;;5;;;;;;;;;;;;;;;;;;;2;5;1;HB
X 3681;X 3682;X 3681;X 3682;Cousin;;1992;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
X 3709;X 3708;X 3709;X 3708;Cousin;;1992;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3714;X 3715;X 3714;X 3715;Cousin;;1992;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3747;X 3748;X 3747;X 3748;Cousin;;1992;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;2;1;1;HB
SEY 6148;SCA 1312;;X 3741;Cousin;;1992;SEY 6148;15/11/2002;SCA 1312;14/11/2008;;;;;;;;;;;;;;;1;;;;;;3;;3;;;;;;;;;;;;;;;3;3;1;HB
X 3780;SCA 3478;X 3780;X 3781;Cousin;;1992;;;SCA 3478;25/11/2010;;;;;;;;;;;;2;;;2;;;;;;;;4;;;;;;;;;;;;;;;3;4;2;HB
SXX 1983;SXX 1050;X 3792;X 3793;Cousin;;1992;SXX 1983;26/11/2020;SXX 1050;08/12/2017;;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;4;;;1;;;;;4;4;1;HB
